"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2021","62.62","62.89","63.18","62.29","10.11M","-0.73%"
"02/11/2021","63.08","63.41","63.62","62.98","8.71M","-0.57%"
"02/10/2021","63.44","63.56","63.70","63.01","9.81M","0.40%"
"02/09/2021","63.19","63.21","63.42","62.67","6.19M","0.14%"
"02/08/2021","63.10","63.73","63.75","62.86","10.77M","-0.77%"
"02/05/2021","63.59","63.53","63.94","63.27","5.96M","0.54%"
"02/04/2021","63.25","62.73","63.34","62.55","11.35M","0.78%"
"02/03/2021","62.76","62.89","63.17","62.62","8.13M","-0.32%"
"02/02/2021","62.96","62.66","63.92","62.40","14.35M","0.82%"
"02/01/2021","62.45","62.55","63.01","61.93","8.05M","0.48%"
"01/29/2021","62.15","62.17","62.78","61.76","13.88M","-0.54%"
"01/28/2021","62.49","61.96","63.44","61.80","12.73M","1.20%"
"01/27/2021","61.75","62.95","63.41","61.47","19.64M","-2.69%"
"01/26/2021","63.46","64.01","64.08","63.20","9.74M","-1.00%"
"01/25/2021","64.10","62.62","64.19","62.55","18.92M","2.01%"
"01/22/2021","62.84","62.57","63.05","62.33","9.38M","0.14%"
"01/21/2021","62.75","62.97","63.10","62.64","6.99M","-0.59%"
"01/20/2021","63.12","62.73","63.40","62.36","22.40M","0.59%"
"01/19/2021","62.75","63.33","63.39","62.66","9.50M","-0.38%"
"01/15/2021","62.99","62.25","63.18","62.02","13.78M","0.98%"
"01/14/2021","62.38","62.64","62.69","62.02","13.03M","-0.38%"
"01/13/2021","62.62","61.61","62.82","61.50","13.34M","1.95%"
"01/12/2021","61.42","61.65","61.86","60.68","12.31M","-0.53%"
"01/11/2021","61.75","62.10","62.35","61.29","8.33M","-0.93%"
"01/08/2021","62.33","61.89","62.45","61.77","13.47M","0.84%"
"01/07/2021","61.81","62.97","63.09","61.75","12.38M","-1.31%"
"01/06/2021","62.63","61.46","63.04","61.32","17.98M","2.49%"
"01/05/2021","61.11","61.25","61.43","60.61","8.33M","-0.02%"
"01/04/2021","61.12","62.81","62.81","60.77","12.63M","-2.52%"
